RecNo.,Time,Pressure1,Pressure2,Temp.1,Temp.2,Temp. 3,Temp. 4
No.   ,sec,kgf/§²,kgf/§²,¡É,¡É,¡É,¡É
         1,       120,     32.21,      0.00,    133.80,      0.00,      0.00,      0.00
         2,       240,     32.22,      0.00,    133.90,      0.00,      0.00,      0.00
         3,       360,     32.21,      0.00,    134.00,      0.00,      0.00,      0.00
         4,       480,     32.22,      0.00,    133.90,      0.00,      0.00,      0.00
         5,       600,     32.21,      0.00,    133.90,      0.00,      0.00,      0.00
         6,       720,     32.21,      0.00,    133.80,      0.00,      0.00,      0.00
         7,       840,     32.21,      0.00,    133.80,      0.00,      0.00,      0.00
         8,       960,     32.20,      0.00,    133.80,      0.00,      0.00,      0.00
         9,      1080,     32.20,      0.00,    133.80,      0.00,      0.00,      0.00
        10,      1200,     32.19,      0.00,    133.80,      0.00,      0.00,      0.00
        11,      1320,     32.19,      0.00,    133.60,      0.00,      0.00,      0.00
        12,      1440,     32.17,      0.00,    132.90,      0.00,      0.00,      0.00
        13,      1560,     32.13,      0.00,    131.60,      0.00,      0.00,      0.00
        14,      1680,     32.10,      0.00,    130.00,      0.00,      0.00,      0.00
        15,      1800,     32.07,      0.00,    128.50,      0.00,      0.00,      0.00
        16,      1920,     32.03,      0.00,    127.30,      0.00,      0.00,      0.00
        17,      2040,     32.00,      0.00,    126.20,      0.00,      0.00,      0.00
        18,      2160,     31.98,      0.00,    125.40,      0.00,      0.00,      0.00
        19,      2280,     31.97,      0.00,    124.90,      0.00,      0.00,      0.00
        20,      2400,     31.96,      0.00,    124.50,      0.00,      0.00,      0.00
        21,      2520,     31.95,      0.00,    124.10,      0.00,      0.00,      0.00
        22,      2640,     31.93,      0.00,    123.10,      0.00,      0.00,      0.00
        23,      2760,     31.89,      0.00,    121.80,      0.00,      0.00,      0.00
        24,      2880,     31.85,      0.00,    120.20,      0.00,      0.00,      0.00
        25,      3000,     31.83,      0.00,    118.80,      0.00,      0.00,      0.00
        26,      3120,     31.80,      0.00,    117.60,      0.00,      0.00,      0.00
        27,      3240,     31.77,      0.00,    116.60,      0.00,      0.00,      0.00
        28,      3360,     31.75,      0.00,    116.00,      0.00,      0.00,      0.00
        29,      3480,     31.74,      0.00,    115.20,      0.00,      0.00,      0.00
        30,      3600,     31.72,      0.00,    114.90,      0.00,      0.00,      0.00
        31,      3720,     31.71,      0.00,    114.20,      0.00,      0.00,      0.00
        32,      3840,     31.69,      0.00,    113.20,      0.00,      0.00,      0.00
        33,      3960,     31.66,      0.00,    111.80,      0.00,      0.00,      0.00
        34,      4080,     31.62,      0.00,    110.40,      0.00,      0.00,      0.00
        35,      4200,     31.59,      0.00,    108.80,      0.00,      0.00,      0.00
        36,      4320,     31.56,      0.00,    107.60,      0.00,      0.00,      0.00
        37,      4440,     31.53,      0.00,    106.50,      0.00,      0.00,      0.00
        38,      4560,     31.51,      0.00,    105.90,      0.00,      0.00,      0.00
        39,      4680,     31.50,      0.00,    105.40,      0.00,      0.00,      0.00
        40,      4800,     31.49,      0.00,    105.00,      0.00,      0.00,      0.00
        41,      4920,     31.48,      0.00,    104.40,      0.00,      0.00,      0.00
        42,      5040,     31.46,      0.00,    103.20,      0.00,      0.00,      0.00
        43,      5160,     31.43,      0.00,    101.90,      0.00,      0.00,      0.00
        44,      5280,     31.39,      0.00,    100.50,      0.00,      0.00,      0.00
        45,      5400,     31.35,      0.00,     98.90,      0.00,      0.00,      0.00
        46,      5520,     31.33,      0.00,     97.70,      0.00,      0.00,      0.00
        47,      5640,     31.30,      0.00,     96.70,      0.00,      0.00,      0.00
