RecNo.,Time,Pressure1,Pressure2,Temp.1,Temp.2,Temp. 3,Temp. 4
No.   ,sec,kgf/§²,kgf/§²,¡É,¡É,¡É,¡É
         1,       120,     18.94,      0.00,    161.40,      0.00,      0.00,      0.00
         2,       240,     18.94,      0.00,    161.50,      0.00,      0.00,      0.00
         3,       360,     18.94,      0.00,    161.60,      0.00,      0.00,      0.00
         4,       480,     18.94,      0.00,    161.80,      0.00,      0.00,      0.00
         5,       600,     18.94,      0.00,    161.90,      0.00,      0.00,      0.00
         6,       720,     18.95,      0.00,    162.00,      0.00,      0.00,      0.00
         7,       840,     18.94,      0.00,    162.00,      0.00,      0.00,      0.00
         8,       960,     18.94,      0.00,    161.80,      0.00,      0.00,      0.00
         9,      1080,     18.95,      0.00,    161.80,      0.00,      0.00,      0.00
        10,      1200,     18.94,      0.00,    162.00,      0.00,      0.00,      0.00
        11,      1320,     18.94,      0.00,    161.80,      0.00,      0.00,      0.00
        12,      1440,     18.93,      0.00,    161.00,      0.00,      0.00,      0.00
        13,      1560,     18.92,      0.00,    159.60,      0.00,      0.00,      0.00
        14,      1680,     18.89,      0.00,    158.20,      0.00,      0.00,      0.00
        15,      1800,     18.88,      0.00,    156.70,      0.00,      0.00,      0.00
        16,      1920,     18.86,      0.00,    155.40,      0.00,      0.00,      0.00
        17,      2040,     18.85,      0.00,    154.40,      0.00,      0.00,      0.00
        18,      2160,     18.84,      0.00,    153.70,      0.00,      0.00,      0.00
        19,      2280,     18.83,      0.00,    153.20,      0.00,      0.00,      0.00
        20,      2400,     18.82,      0.00,    152.80,      0.00,      0.00,      0.00
        21,      2520,     18.82,      0.00,    152.30,      0.00,      0.00,      0.00
        22,      2640,     18.81,      0.00,    151.40,      0.00,      0.00,      0.00
        23,      2760,     18.79,      0.00,    149.70,      0.00,      0.00,      0.00
        24,      2880,     18.78,      0.00,    148.40,      0.00,      0.00,      0.00
        25,      3000,     18.75,      0.00,    147.00,      0.00,      0.00,      0.00
        26,      3120,     18.74,      0.00,    145.80,      0.00,      0.00,      0.00
        27,      3240,     18.72,      0.00,    144.70,      0.00,      0.00,      0.00
        28,      3360,     18.72,      0.00,    144.00,      0.00,      0.00,      0.00
        29,      3480,     18.71,      0.00,    143.40,      0.00,      0.00,      0.00
        30,      3600,     18.71,      0.00,    143.20,      0.00,      0.00,      0.00
        31,      3720,     18.69,      0.00,    142.80,      0.00,      0.00,      0.00
        32,      3840,     18.69,      0.00,    141.80,      0.00,      0.00,      0.00
        33,      3960,     18.67,      0.00,    140.40,      0.00,      0.00,      0.00
        34,      4080,     18.66,      0.00,    138.60,      0.00,      0.00,      0.00
        35,      4200,     18.63,      0.00,    137.00,      0.00,      0.00,      0.00
