pressure,temperature
28.56,4.24
28.58,4.25
28.6,4.2700000000000005
28.63,4.2700000000000005
28.64,4.2700000000000005
28.66,4.29
28.68,4.29
28.69,4.2700000000000005
28.7,4.29
28.71,4.29
28.72,4.32
28.74,4.33
28.75,4.33
28.76,4.34
28.76,4.34
28.77,4.35
28.78,4.34
28.79,4.32
28.79,4.33
28.79,4.33
28.8,4.34
28.8,4.33
28.81,4.3100000000000005
28.81,4.32
28.81,4.3100000000000005
28.8,4.33
28.81,4.33
28.81,4.34
28.82,4.36
28.82,4.37
28.83,4.39
28.84,4.37
28.85,4.35
28.85,4.33
28.85,4.36
28.84,4.35
28.84,4.34
28.83,4.32
28.83,4.32
28.82,4.34
28.83,4.32
28.83,4.34
28.82,4.32
28.83,4.32
28.82,4.35
28.82,4.39
28.83,4.41
28.82,4.36
28.82,4.35
28.82,4.32
28.82,4.33
28.82,4.32
28.82,4.33
28.83,4.35
28.83,4.35
28.83,4.34
28.84,4.37
28.84,4.35
28.85,4.37
28.85,4.37
28.85,4.33
28.84,4.33
28.85,4.32
28.84,4.34
28.83,4.32
28.83,4.32
28.83,4.3100000000000005
28.83,4.32
28.82,4.33
28.83,4.34
28.83,4.33
28.84,4.37
28.84,4.34
28.85,4.35
28.84,4.34
28.84,4.34
28.84,4.35
28.85,4.36
28.85,4.34
28.85,4.36
28.85,4.34
28.85,4.37
28.84,4.35
28.84,4.35
28.84,4.35
28.84,4.35
28.85,4.35
28.84,4.35
28.85,4.38
28.84,4.35
28.85,4.35
28.84,4.35
28.84,4.36
28.84,4.35
28.84,4.35
28.84,4.35
28.85,4.37
28.84,4.38
28.85,4.34
28.84,4.35
28.84,4.35
28.83,4.33
28.83,4.35
28.83,4.34
28.83,4.33
28.82,4.35
28.82,4.39
28.82,4.38
28.82,4.37
28.82,4.34
28.82,4.36
28.82,4.4
28.83,4.42
28.85,4.41
28.86,4.42
28.88,4.43
28.9,4.4399999999999995
28.91,4.43
28.92,4.4399999999999995
28.93,4.45
28.95,4.470000000000001
28.96,4.5
28.96,4.51
28.97,4.470000000000001
28.98,4.5
28.99,4.470000000000001
28.99,4.46
28.99,4.46
29.0,4.470000000000001
29.01,4.51
29.02,4.5
29.02,4.49
29.03,4.49
29.03,4.49
29.03,4.51
29.05,4.5200000000000005
29.05,4.529999999999999
29.05,4.51
29.06,4.51
29.07,4.5200000000000005
29.07,4.5200000000000005
29.08,4.529999999999999
29.08,4.5200000000000005
29.08,4.51
29.08,4.55
29.09,4.55
29.09,4.54
29.1,4.529999999999999
29.11,4.529999999999999
29.11,4.51
29.11,4.51
29.11,4.51
29.11,4.529999999999999
29.11,4.5200000000000005
29.11,4.51
29.11,4.5200000000000005
29.11,4.55
29.12,4.57
29.12,4.5600000000000005
29.12,4.529999999999999
29.12,4.5200000000000005
29.12,4.5200000000000005
29.12,4.51
29.11,4.49
29.1,4.4799999999999995
29.11,4.5200000000000005
29.11,4.529999999999999
29.12,4.55
29.12,4.529999999999999
29.12,4.5600000000000005
29.12,4.54
29.12,4.54
29.12,4.55
29.13,4.5200000000000005
29.12,4.51
29.12,4.529999999999999
29.12,4.51
29.13,4.51
29.13,4.529999999999999
29.14,4.5200000000000005
29.14,4.55
29.14,4.57
29.14,4.55
29.13,4.529999999999999
29.13,4.5200000000000005
29.13,4.51
29.13,4.51
29.13,4.51
29.13,4.529999999999999
29.13,4.529999999999999
29.13,4.529999999999999
29.13,4.5200000000000005
29.14,4.529999999999999
29.15,4.529999999999999
29.14,4.529999999999999
29.15,4.54
29.15,4.54
29.15,4.529999999999999
29.15,4.529999999999999
29.15,4.51
29.15,4.5200000000000005
29.14,4.51
29.15,4.529999999999999
29.15,4.529999999999999
29.15,4.529999999999999
29.15,4.55
29.15,4.54
29.15,4.5600000000000005
29.15,4.55
29.15,4.529999999999999
29.15,4.529999999999999
29.15,4.5200000000000005
29.15,4.529999999999999
29.15,4.55
29.15,4.529999999999999
29.15,4.55
29.15,4.57
29.15,4.57
29.15,4.5600000000000005
29.15,4.54
29.15,4.529999999999999
29.15,4.54
29.15,4.55
29.15,4.5200000000000005
29.15,4.5
29.15,4.529999999999999
29.15,4.54
29.15,4.529999999999999
29.15,4.529999999999999
29.15,4.5600000000000005
29.15,4.57
29.16,4.59
29.18,4.67
29.19,4.68
29.2,4.68
29.21,4.67
29.23,4.67
29.24,4.66
29.25,4.65
29.26,4.6899999999999995
29.28,4.75
29.29,4.7299999999999995
29.3,4.7299999999999995
29.31,4.71
29.31,4.68
29.32,4.6899999999999995
29.32,4.68
29.33,4.7
29.34,4.74
29.34,4.779999999999999
29.35,4.779999999999999
29.36,4.75
29.37,4.7299999999999995
29.38,4.7299999999999995
29.37,4.7299999999999995
29.38,4.720000000000001
29.38,4.71
29.38,4.7299999999999995
29.38,4.720000000000001
29.39,4.75
29.4,4.75
29.4,4.75
29.41,4.75
29.41,4.7299999999999995
29.41,4.75
29.41,4.75
29.41,4.7299999999999995
29.41,4.7299999999999995
29.42,4.720000000000001
29.42,4.720000000000001
29.43,4.7299999999999995
29.43,4.7299999999999995
29.43,4.79
29.44,4.75
29.43,4.74
29.43,4.7299999999999995
29.44,4.7299999999999995
29.44,4.7299999999999995
29.44,4.7299999999999995
29.44,4.75
29.44,4.7299999999999995
29.44,4.720000000000001
29.44,4.71
29.44,4.7
29.44,4.7299999999999995
29.44,4.74
29.44,4.7299999999999995
29.46,4.76
29.46,4.7700000000000005
29.46,4.75
29.46,4.74
29.46,4.7299999999999995
29.47,4.74
29.47,4.76
29.47,4.8
29.47,4.79
29.47,4.75
29.47,4.7700000000000005
29.47,4.76
29.47,4.76
29.47,4.74
29.47,4.75
29.47,4.75
29.47,4.76
29.47,4.7700000000000005
29.47,4.75
29.47,4.7299999999999995
29.47,4.75
29.47,4.75
29.47,4.74
29.48,4.74
29.48,4.7299999999999995
29.47,4.7299999999999995
29.47,4.76
29.48,4.74
29.48,4.7299999999999995
29.47,4.71
29.47,4.6899999999999995
29.47,4.6899999999999995
29.47,4.6899999999999995
