pressure,temperature
20.38,2.2
20.37,2.21
20.37,2.2199999999999998
20.37,2.2199999999999998
20.35,2.2199999999999998
20.35,2.2199999999999998
20.35,2.2199999999999998
20.35,2.2199999999999998
20.34,2.23
20.35,2.2199999999999998
20.35,2.21
20.35,2.2199999999999998
20.37,2.21
20.37,2.2
20.35,2.21
20.35,2.2199999999999998
20.35,2.21
20.35,2.21
20.35,2.21
20.35,2.23
20.34,2.2399999999999998
20.35,2.23
20.36,2.23
20.34,2.23
20.36,2.23
20.35,2.21
20.36,2.21
20.36,2.2199999999999998
20.35,2.2199999999999998
20.35,2.23
20.36,2.21
20.36,2.21
20.35,2.21
20.35,2.23
20.35,2.23
20.35,2.21
20.35,2.19
20.36,2.19
20.35,2.19
20.35,2.19
20.36,2.18
20.36,2.17
20.33,2.18
20.33,2.18
20.34,2.18
20.35,2.17
20.33,2.17
20.35,2.17
20.33,2.17
20.34,2.17
20.35,2.18
20.34,2.17
20.34,2.17
20.35,2.17
20.33,2.15
20.34,2.17
20.34,2.18
20.34,2.17
20.34,2.17
20.33,2.17
20.33,2.15
20.34,2.17
20.34,2.17
20.34,2.17
20.35,2.19
20.35,2.19
20.35,2.2
20.35,2.21
20.35,2.2
20.35,2.19
20.35,2.19
20.35,2.2
20.34,2.19
20.32,2.19
20.36,2.19
20.33,2.19
20.34,2.18
20.35,2.19
20.35,2.18
20.36,2.18
20.35,2.19
20.35,2.17
20.35,2.18
20.35,2.17
20.34,2.17
20.35,2.17
20.35,2.17
20.35,2.19
20.36,2.19
20.35,2.19
20.33,2.2
20.35,2.19
20.35,2.19
20.34,2.2
20.36,2.19
20.36,2.2
20.35,2.19
20.36,2.19
20.36,2.19
20.35,2.17
20.33,2.17
20.35,2.18
20.35,2.16
20.39,2.19
20.35,2.19
20.34,2.19
20.33,2.21
20.35,2.2
20.34,2.19
20.35,2.21
20.35,2.2
20.35,2.21
20.35,2.21
20.35,2.2199999999999998
20.34,2.23
20.34,2.2399999999999998
20.34,2.2199999999999998
20.35,2.2199999999999998
20.35,2.23
20.36,2.23
20.35,2.21
20.34,2.23
20.34,2.2199999999999998
20.34,2.21
20.35,2.2199999999999998
20.35,2.2199999999999998
20.34,2.23
20.35,2.21
20.34,2.2
20.34,2.2
20.34,2.19
20.34,2.2
20.35,2.17
20.33,2.17
20.35,2.17
20.34,2.18
20.35,2.16
20.35,2.15
20.32,2.18
20.35,2.19
20.33,2.19
20.35,2.19
20.33,2.19
20.33,2.18
20.33,2.18
20.35,2.2
20.34,2.2
20.35,2.19
20.35,2.18
20.34,2.16
20.34,2.17
20.32,2.18
20.33,2.17
20.34,2.17
20.34,2.18
20.35,2.17
20.35,2.17
20.33,2.18
20.34,2.17
20.34,2.16
20.33,2.17
20.32,2.17
20.34,2.17
20.32,2.17
20.32,2.17
20.33,2.18
20.34,2.19
20.33,2.19
20.35,2.17
20.33,2.19
20.33,2.21
20.34,2.2
20.35,2.2
20.35,2.21
20.35,2.2
20.35,2.2
20.33,2.17
20.35,2.18
20.34,2.18
20.35,2.17
20.33,2.18
20.34,2.19
20.34,2.19
20.33,2.2
20.33,2.19
20.35,2.19
20.33,2.19
20.33,2.19
20.32,2.21
20.33,2.21
20.34,2.2
20.33,2.21
20.33,2.21
20.35,2.2
20.33,2.19
20.34,2.18
20.32,2.19
20.32,2.19
20.33,2.19
20.3,2.21
20.33,2.2
20.32,2.19
20.32,2.19
20.32,2.18
20.32,2.18
20.33,2.19
20.32,2.17
20.33,2.17
20.34,2.17
20.32,2.17
20.35,2.18
20.32,2.19
20.32,2.17
20.32,2.19
20.32,2.18
20.33,2.18
20.32,2.17
20.32,2.17
20.33,2.15
20.32,2.15
20.31,2.16
20.33,2.16
20.32,2.16
20.33,2.15
20.32,2.16
20.33,2.15
20.32,2.16
20.33,2.15
20.32,2.1399999999999997
20.33,2.16
20.32,2.15
20.32,2.15
20.33,2.17
20.32,2.17
20.33,2.16
20.32,2.17
20.32,2.15
20.32,2.15
20.33,2.15
20.32,2.16
20.32,2.13
20.32,2.16
20.33,2.17
20.32,2.18
20.33,2.18
20.34,2.18
20.32,2.17
20.33,2.17
20.31,2.18
20.32,2.18
20.34,2.16
20.32,2.17
20.34,2.17
20.32,2.18
20.38,2.17
20.3,2.17
20.31,2.17
20.31,2.15
20.32,2.1399999999999997
20.32,2.16
20.33,2.16
20.32,2.17
20.32,2.16
20.31,2.16
20.32,2.15
20.32,2.16
20.33,2.16
20.33,2.16
20.32,2.17
20.32,2.17
20.32,2.18
20.34,2.16
20.32,2.15
20.33,2.15
20.32,2.17
20.31,2.17
20.32,2.17
20.32,2.16
20.32,2.17
20.32,2.17
20.32,2.17
20.32,2.16
20.32,2.16
20.31,2.16
20.31,2.15
20.32,2.16
20.32,2.15
20.31,2.15
20.32,2.1399999999999997
20.31,2.15
20.32,2.15
20.32,2.16
20.3,2.1399999999999997
20.34,2.15
20.32,2.17
20.32,2.15
20.31,2.1399999999999997
20.29,2.15
20.33,2.15
20.32,2.13
20.32,2.1399999999999997
20.31,2.1399999999999997
20.32,2.15
20.32,2.16
20.32,2.15
20.33,2.15
20.31,2.15
20.31,2.16
20.31,2.15
20.32,2.15
20.32,2.15
20.3,2.16
20.32,2.17
20.32,2.16
20.32,2.17
20.3,2.17
20.32,2.17
20.32,2.17
20.33,2.16
20.32,2.18
20.32,2.17
20.31,2.17
20.31,2.17
20.33,2.17
20.32,2.18
20.32,2.18
20.32,2.16
20.32,2.15
20.32,2.15
20.31,2.15
20.31,2.1399999999999997
20.3,2.15
20.32,2.16
20.31,2.15
20.26,2.15
20.32,2.13
20.3,2.12
20.3,2.12
20.31,2.12
20.31,2.13
20.31,2.13
20.3,2.1399999999999997
20.32,2.13
20.31,2.12
20.31,2.13
20.32,2.13
20.32,2.12
20.3,2.12
20.32,2.12
20.32,2.12
20.32,2.1100000000000003
20.31,2.1399999999999997
20.35,2.15
20.31,2.13
20.32,2.15
20.29,2.15
20.32,2.15
20.32,2.15
20.32,2.15
20.3,2.15
20.32,2.15
20.32,2.16
20.32,2.15
20.3,2.15
20.3,2.15
20.31,2.13
20.32,2.13
20.32,2.13
20.32,2.13
20.32,2.13
20.36,2.13
20.32,2.1399999999999997
20.31,2.1399999999999997
20.3,2.13
20.3,2.15
20.32,2.15
20.31,2.1399999999999997
20.31,2.15
20.31,2.1399999999999997
20.32,2.13
20.32,2.1399999999999997
20.3,2.1399999999999997
20.31,2.13
20.31,2.15
20.32,2.13
20.3,2.15
20.32,2.15
20.32,2.15
20.32,2.15
20.32,2.13
20.32,2.15
20.26,2.13
20.32,2.13
20.3,2.13
20.35,2.12
20.31,2.1100000000000003
20.31,2.12
20.32,2.1100000000000003
20.32,2.13
20.32,2.1399999999999997
20.32,2.1399999999999997
20.31,2.15
20.29,2.13
20.31,2.15
20.32,2.16
20.33,2.16
20.32,2.16
20.32,2.16
20.31,2.15
20.33,2.15
20.32,2.15
20.32,2.15
20.26,2.15
20.33,2.15
20.32,2.15
20.3,2.17
20.32,2.17
20.32,2.15
20.32,2.17
20.33,2.17
20.33,2.16
20.33,2.15
20.31,2.15
20.33,2.15
20.32,2.15
20.31,2.16
20.32,2.17
20.32,2.18
20.32,2.17
20.32,2.18
20.32,2.18
20.32,2.2
20.32,2.19
20.31,2.17
20.32,2.18
20.33,2.17
20.32,2.18
20.32,2.17
20.32,2.17
20.32,2.18
20.32,2.17
20.32,2.17
20.32,2.17
20.32,2.17
20.31,2.16
20.33,2.15
20.32,2.15
20.31,2.15
20.34,2.15
20.32,2.1399999999999997
20.32,2.1399999999999997
20.32,2.1399999999999997
20.31,2.1399999999999997
20.32,2.13
20.33,2.13
20.32,2.1399999999999997
20.3,2.15
20.31,2.15
20.32,2.16
20.3,2.16
20.3,2.16
20.3,2.16
20.32,2.15
20.32,2.15
20.32,2.15
20.32,2.15
20.32,2.15
20.32,2.15
20.32,2.15
20.31,2.15
20.31,2.16
20.31,2.16
20.31,2.17
20.32,2.16
20.32,2.15
20.32,2.16
20.32,2.1399999999999997
20.31,2.16
20.32,2.15
20.32,2.15
20.32,2.1399999999999997
20.32,2.15
20.32,2.15
20.32,2.16
20.32,2.16
20.32,2.15
20.31,2.15
20.32,2.16
20.32,2.15
20.33,2.15
20.31,2.16
20.31,2.17
20.32,2.15
20.32,2.16
20.32,2.16
20.32,2.15
20.31,2.15
20.31,2.17
20.32,2.16
20.32,2.15
20.31,2.17
20.33,2.17
20.31,2.16
20.32,2.16
20.32,2.17
20.31,2.16
20.32,2.16
20.32,2.16
20.32,2.16
20.32,2.17
20.32,2.15
20.31,2.16
20.3,2.16
20.31,2.16
20.32,2.17
20.31,2.17
20.32,2.15
20.3,2.17
20.32,2.16
20.32,2.13
20.31,2.13
20.32,2.13
20.31,2.12
20.32,2.1100000000000003
20.33,2.1
20.32,2.09
20.3,2.12
20.32,2.13
20.32,2.15
20.32,2.15
20.31,2.16
20.32,2.17
20.31,2.18
20.31,2.18
20.32,2.19
20.33,2.19
20.31,2.19
20.33,2.16
20.32,2.15
20.32,2.15
20.31,2.1399999999999997
20.32,2.16
20.31,2.15
20.32,2.17
20.32,2.15
20.32,2.15
20.34,2.17
20.3,2.16
20.32,2.17
20.32,2.16
20.32,2.16
20.32,2.16
20.3,2.17
20.32,2.17
20.32,2.13
20.33,2.13
20.31,2.15
20.32,2.15
20.3,2.15
20.31,2.16
20.32,2.16
20.33,2.17
20.32,2.17
20.31,2.17
20.31,2.17
20.32,2.17
20.31,2.16
20.32,2.15
20.32,2.13
20.3,2.12
20.32,2.12
20.32,2.13
20.31,2.16
20.33,2.16
20.3,2.16
20.31,2.17
20.32,2.18
20.32,2.17
20.32,2.17
20.31,2.17
20.32,2.17
20.32,2.17
20.31,2.16
20.32,2.17
20.31,2.15
20.38,2.16
20.32,2.16
20.32,2.15
20.32,2.16
20.31,2.15
20.31,2.13
20.32,2.1399999999999997
20.32,2.15
20.32,2.16
20.32,2.15
20.3,2.1399999999999997
20.3,2.13
20.32,2.1399999999999997
20.3,2.13
20.31,2.1399999999999997
20.32,2.16
20.31,2.17
20.29,2.16
20.35,2.1399999999999997
20.32,2.16
20.31,2.16
20.32,2.16
20.3,2.17
20.31,2.17
20.32,2.17
20.31,2.17
20.32,2.17
20.32,2.18
20.31,2.19
20.32,2.19
20.32,2.19
20.32,2.2
20.33,2.18
20.35,2.18
20.32,2.18
20.35,2.18
20.31,2.18
20.32,2.19
20.33,2.19
20.32,2.18
20.32,2.19
20.32,2.17
20.3,2.17
20.32,2.17
20.31,2.15
20.32,2.15
20.34,2.16
20.32,2.17
20.33,2.17
20.33,2.17
20.32,2.16
20.34,2.17
20.32,2.16
20.32,2.16
20.32,2.17
20.31,2.19
20.32,2.18
20.33,2.17
20.32,2.18
20.32,2.18
20.32,2.17
20.31,2.17
20.31,2.18
20.3,2.17
20.32,2.17
20.31,2.1399999999999997
20.31,2.15
20.3,2.15
20.32,2.16
20.31,2.15
20.32,2.15
20.31,2.15
20.31,2.15
20.31,2.16
20.3,2.17
20.3,2.16
20.32,2.15
20.31,2.16
20.32,2.1399999999999997
20.31,2.13
20.29,2.1399999999999997
20.31,2.15
20.31,2.15
20.31,2.15
20.31,2.15
20.31,2.15
20.31,2.15
20.3,2.16
20.3,2.17
20.36,2.15
20.31,2.15
20.31,2.17
20.32,2.17
20.32,2.17
20.33,2.18
20.31,2.19
20.32,2.19
20.32,2.2
20.31,2.19
20.31,2.17
20.32,2.18
20.32,2.2
20.31,2.19
20.32,2.18
20.32,2.2
20.32,2.18
20.31,2.19
20.32,2.17
20.33,2.18
20.31,2.17
20.32,2.17
20.33,2.16
20.32,2.17
20.32,2.18
20.31,2.16
20.3,2.16
20.31,2.16
20.32,2.17
20.32,2.16
20.32,2.15
20.31,2.17
20.31,2.16
20.31,2.17
20.32,2.16
20.31,2.16
20.29,2.16
20.32,2.16
20.32,2.16
20.32,2.15
20.31,2.15
20.3,2.15
20.32,2.17
20.31,2.17
20.31,2.15
20.32,2.16
20.3,2.18
20.32,2.17
20.31,2.16
20.32,2.1399999999999997
20.31,2.1399999999999997
20.32,2.1399999999999997
20.3,2.13
20.3,2.1399999999999997
20.3,2.13
20.31,2.1399999999999997
20.24,2.13
20.3,2.13
20.29,2.15
20.29,2.17
20.29,2.17
20.3,2.16
20.31,2.17
20.29,2.17
20.31,2.16
20.29,2.17
20.3,2.16
20.3,2.16
20.3,2.17
20.3,2.16
20.32,2.16
20.31,2.15
20.31,2.15
20.29,2.15
20.32,2.15
20.32,2.15
20.32,2.15
20.32,2.15
20.32,2.1399999999999997
20.3,2.15
20.29,2.15
20.29,2.15
20.3,2.15
20.32,2.15
20.31,2.15
20.31,2.16
20.31,2.15
20.3,2.15
20.32,2.15
20.32,2.15
20.3,2.16
20.31,2.16
