pressure,temperature
18.65,1.3900000000000001
18.63,1.41
18.64,1.3900000000000001
18.65,1.3900000000000001
18.64,1.3800000000000001
18.63,1.3599999999999999
18.66,1.3599999999999999
18.64,1.3699999999999999
18.64,1.4
18.65,1.3699999999999999
18.65,1.3699999999999999
18.65,1.3599999999999999
18.66,1.3699999999999999
18.66,1.3800000000000001
18.67,1.4
18.64,1.4300000000000002
18.66,1.44
18.65,1.4300000000000002
18.67,1.4300000000000002
18.66,1.44
18.67,1.4300000000000002
18.68,1.4
18.67,1.4
18.68,1.41
18.67,1.41
18.69,1.41
18.68,1.41
18.69,1.3900000000000001
18.69,1.4
18.69,1.41
18.68,1.44
18.7,1.45
18.69,1.46
18.69,1.45
18.68,1.44
18.7,1.4300000000000002
18.69,1.3900000000000001
18.69,1.3900000000000001
18.69,1.3900000000000001
18.69,1.3900000000000001
18.69,1.3699999999999999
18.69,1.3900000000000001
18.69,1.3800000000000001
18.7,1.3800000000000001
18.73,1.4
18.71,1.42
18.7,1.3800000000000001
18.7,1.3900000000000001
18.68,1.3900000000000001
18.69,1.41
18.69,1.41
18.69,1.4300000000000002
18.69,1.41
18.71,1.41
18.72,1.41
18.7,1.41
18.71,1.41
18.71,1.4300000000000002
18.71,1.42
18.71,1.42
18.7,1.42
18.7,1.41
18.69,1.41
18.71,1.4
18.71,1.4
18.71,1.4
18.7,1.41
18.69,1.4300000000000002
18.7,1.44
18.7,1.42
18.7,1.4
18.71,1.3800000000000001
18.7,1.3900000000000001
18.71,1.3900000000000001
18.71,1.3900000000000001
18.71,1.4
18.71,1.3900000000000001
18.69,1.3800000000000001
18.7,1.3699999999999999
18.7,1.3800000000000001
18.71,1.35
18.69,1.3699999999999999
18.71,1.3900000000000001
18.71,1.3800000000000001
18.71,1.3800000000000001
18.7,1.35
18.7,1.34
18.7,1.35
18.69,1.3599999999999999
18.69,1.3599999999999999
18.7,1.3800000000000001
18.7,1.3900000000000001
18.72,1.3800000000000001
18.71,1.35
18.71,1.3599999999999999
18.69,1.3599999999999999
18.7,1.35
18.7,1.3599999999999999
18.72,1.3699999999999999
18.7,1.3699999999999999
18.71,1.3900000000000001
18.71,1.41
18.71,1.3900000000000001
18.7,1.3800000000000001
18.71,1.3599999999999999
18.7,1.3699999999999999
18.72,1.3800000000000001
18.69,1.3699999999999999
18.7,1.3900000000000001
18.71,1.3900000000000001
18.72,1.3900000000000001
18.71,1.3900000000000001
18.72,1.41
18.72,1.41
18.72,1.3900000000000001
18.71,1.3900000000000001
18.71,1.3699999999999999
18.72,1.3800000000000001
18.7,1.3900000000000001
18.7,1.4
18.7,1.3800000000000001
18.69,1.3900000000000001
18.71,1.3900000000000001
18.7,1.41
18.71,1.41
18.71,1.42
18.69,1.44
18.71,1.42
18.7,1.4
18.7,1.3900000000000001
18.7,1.3800000000000001
18.71,1.3900000000000001
18.72,1.41
18.69,1.4
18.7,1.3900000000000001
18.71,1.3900000000000001
18.72,1.3900000000000001
18.72,1.3800000000000001
18.71,1.41
18.7,1.3900000000000001
18.7,1.3800000000000001
18.71,1.3599999999999999
18.71,1.4
18.69,1.3900000000000001
18.69,1.3699999999999999
18.7,1.3800000000000001
18.7,1.4
18.69,1.3900000000000001
18.7,1.3900000000000001
18.73,1.3900000000000001
18.72,1.3900000000000001
18.7,1.3699999999999999
18.72,1.3900000000000001
18.7,1.3699999999999999
18.7,1.4
18.7,1.41
18.71,1.3900000000000001
18.68,1.3900000000000001
18.71,1.41
18.7,1.4
18.7,1.3900000000000001
18.71,1.3900000000000001
18.7,1.41
18.71,1.4300000000000002
18.7,1.41
18.69,1.3900000000000001
18.71,1.3900000000000001
18.71,1.3800000000000001
18.72,1.3699999999999999
18.71,1.3699999999999999
18.71,1.3900000000000001
18.69,1.41
18.71,1.4
18.71,1.3800000000000001
18.7,1.3900000000000001
18.7,1.4
18.72,1.41
18.69,1.4300000000000002
18.7,1.44
18.69,1.45
18.71,1.45
18.7,1.4300000000000002
18.72,1.3900000000000001
18.71,1.42
18.71,1.42
18.71,1.4300000000000002
18.72,1.4
18.72,1.41
18.72,1.4
18.72,1.3900000000000001
18.72,1.4
18.72,1.42
18.72,1.4300000000000002
18.72,1.44
18.71,1.44
18.72,1.42
18.71,1.41
18.7,1.4
18.72,1.3900000000000001
18.72,1.3900000000000001
18.73,1.41
18.71,1.4
18.71,1.41
18.73,1.4300000000000002
18.73,1.42
18.71,1.4
18.72,1.41
18.72,1.3900000000000001
18.73,1.3900000000000001
18.72,1.44
18.72,1.45
18.69,1.41
18.72,1.3900000000000001
18.71,1.4
18.71,1.3699999999999999
18.71,1.3599999999999999
18.71,1.4
18.72,1.42
18.72,1.4300000000000002
18.72,1.44
18.72,1.45
18.72,1.45
18.72,1.4300000000000002
18.71,1.45
18.72,1.46
18.72,1.4300000000000002
18.76,1.41
18.72,1.42
18.71,1.45
18.72,1.4300000000000002
18.73,1.47
18.73,1.48
18.72,1.46
18.72,1.44
18.72,1.42
18.72,1.41
18.72,1.41
18.72,1.41
18.72,1.4300000000000002
18.72,1.44
18.72,1.4300000000000002
18.7,1.3900000000000001
18.72,1.3699999999999999
18.71,1.41
18.72,1.42
18.71,1.4300000000000002
18.73,1.44
18.72,1.4300000000000002
18.72,1.44
18.71,1.44
18.73,1.44
18.71,1.4300000000000002
18.72,1.41
18.71,1.4
18.72,1.3900000000000001
18.72,1.3800000000000001
18.72,1.3699999999999999
18.72,1.3699999999999999
18.72,1.4
18.72,1.41
18.73,1.41
18.69,1.4
18.73,1.4300000000000002
18.72,1.4300000000000002
18.72,1.46
18.72,1.46
18.72,1.48
18.72,1.49
18.73,1.49
18.72,1.48
18.74,1.48
18.72,1.49
18.72,1.45
18.74,1.44
18.74,1.42
18.72,1.41
18.72,1.4300000000000002
18.72,1.41
18.73,1.41
18.73,1.41
18.74,1.4
18.71,1.41
18.72,1.46
18.75,1.51
18.75,1.54
18.74,1.53
18.73,1.53
18.73,1.49
18.74,1.49
18.73,1.47
18.73,1.48
18.73,1.5
18.74,1.52
18.74,1.53
18.74,1.53
18.73,1.52
18.73,1.54
18.73,1.54
18.74,1.54
18.74,1.56
18.73,1.56
18.7,1.55
18.76,1.54
18.76,1.51
18.76,1.53
18.75,1.5699999999999998
18.74,1.6199999999999999
18.75,1.6199999999999999
18.75,1.6199999999999999
18.76,1.65
18.77,1.69
18.76,1.7100000000000002
18.77,1.7100000000000002
18.79,1.69
18.79,1.6800000000000002
18.79,1.67
18.78,1.6800000000000002
18.79,1.7100000000000002
18.8,1.73
18.82,1.73
18.82,1.7399999999999998
18.84,1.77
18.82,1.7600000000000002
18.83,1.77
18.84,1.77
18.84,1.77
18.85,1.75
18.85,1.7399999999999998
18.84,1.73
18.85,1.7399999999999998
18.85,1.7399999999999998
18.85,1.75
18.85,1.75
